LotArea	YearBuilt	YrSold	SalePrice
8724	1968	2007	129000
12900	1969	2008	108959
16157	1978	2007	194000
9541	2009	2009	233170
10475	2008	2010	245350
10852	2000	2006	173000
13728	1935	2008	235000
35760	1995	2006	625000
9880	1977	2008	171000
9120	1958	2008	163000
4017	2006	2008	171900
18030	1946	2007	200500
16560	1932	2006	239000
10678	1992	2007	285000
6951	1984	2008	119500
3950	1926	2009	115000
7681	1921	2009	154900
8335	1954	2006	93000
11170	1990	2006	250000
5587	2008	2008	392500
15623	1996	2007	745000
10800	1920	2006	120000
35133	1963	2007	186700
9738	1924	2006	104900
10615	1900	2009	95000
12461	1994	2006	262000
8935	2002	2009	195000
7500	1999	2010	189000
32463	1961	2007	168000
2645	1999	2007	174000
9600	1925	2007	125000
4500	1999	2009	165000
9364	1969	2010	158000
8029	2005	2008	176000
14054	2006	2006	219210
8850	1916	2006	144000
9100	2001	2009	178000
11235	1963	2006	148000
9353	1970	2006	116050
10400	1998	2009	197900
6000	1925	2009	117000
9750	2000	2009	213000
10140	1975	2006	153500
14684	1990	2009	271900
8900	1966	2006	107000
9135	2003	2006	200000
7763	1962	2008	140000
10182	2006	2006	290000
11218	1992	2010	189000
12134	1988	2010	164000
9340	1941	2009	113000
10246	1965	2006	145000
10205	1962	2006	134500
7094	1966	2007	125000
8930	1978	2010	112000
8640	2009	2009	229456
6240	1947	2006	80500
1680	1971	2006	91500
7800	1964	2006	115000
8250	1968	2008	134000
10496	1949	2007	143000
10680	1951	2006	137900
15384	2004	2008	184000
10482	1958	2007	145000
14598	2007	2008	214000
8872	1965	2008	147000
8769	2008	2008	367294
7910	1960	2008	127000
18890	1977	2007	190000
7728	1962	2006	132500
9842	1962	2007	101800
12160	1959	2010	142000
8525	1911	2008	130000
13132	1914	2006	138887
2628	2003	2010	175500
12393	2004	2006	195000
13072	2005	2006	142500
9037	2006	2007	265900
8158	2003	2008	224900
9849	2007	2007	248328
10625	1974	2010	170000
13891	2006	2006	465000
11435	1929	2006	230000
12090	1984	2007	178000
8125	2005	2006	186500
12328	1976	2010	169900
9600	1917	2008	129500
7200	1950	2007	119000
11160	1968	2010	244000
3136	2003	2006	171750
9858	1968	2009	130000
17542	1974	2007	294000
6931	2003	2008	165400
6240	1931	2007	127500
14303	1994	2008	301500
4060	1922	2009	99900
9587	2005	2008	190000
9750	1969	2008	151000
24682	1999	2009	181000
9600	1956	2009	128900
11250	1957	2009	161500
13515	1919	2007	180500
4060	1998	2008	181000
3735	1999	2006	183900
10120	1910	2007	122000
13214	2008	2010	378500
14100	1935	2008	381000
11344	1958	2007	144000
23595	1979	2010	260000
9156	1968	2009	185750
13526	1965	2006	137000
11512	1959	2008	177000
5362	1910	2007	139000
11345	1948	2007	137000
12936	1972	2009	162000
17871	1967	2009	197900
9473	2002	2008	237000
7500	1920	2010	68400
9808	2002	2009	227000
8049	1990	2006	180000
8800	1977	2009	150500
9400	1971	2010	139000
9638	1919	2010	169000
6000	1939	2009	132500
9790	1963	2010	143000
36500	1964	2006	190000
5664	2000	2009	278000
11065	2006	2006	281000
14112	1964	2010	180500
1680	1972	2009	119500
6600	1892	2009	107500
10140	1976	2006	162900
8172	1955	2006	115000
8400	1968	2006	138500
8700	1963	2008	155000
3675	2005	2006	140000
63887	2008	2008	160000
7500	1959	2010	154000
10762	1999	2009	225000
7500	1942	2009	177500
10120	1994	2006	290000
8688	2005	2006	232000
3363	2004	2006	130000
13173	2006	2009	325000
6955	2005	2006	202500
8072	1994	2009	138000
12000	1948	2008	147000
7153	1991	2008	179200
17500	1959	2010	335000
8814	2005	2007	203000
9572	1990	2007	302000
14774	1999	2010	333168
8190	1954	2007	119000
11075	1969	2008	206900
10226	2008	2009	295493
4230	2006	2007	208900
14781	2001	2006	275000
10215	1954	2007	111000
8400	1957	2009	156500
6627	1949	2008	72500
10186	1992	2010	190000
5330	1940	2009	82500
9986	2006	2007	147000
3636	1922	2008	55000
4270	1931	2007	79000
6600	1982	2008	130500
10440	1920	2008	256000
9084	1998	2006	176500
10000	2006	2007	227000
10780	1976	2006	132500
8877	1938	2009	100000
7200	1938	2006	125500
2368	1970	2009	125000
9650	1977	2009	167900
9246	1973	2008	135000
4118	1941	2006	52500
13450	2002	2006	200000
9560	1972	2006	128500
8294	1971	2007	123000
13695	2003	2008	155000
9375	2002	2007	228500
7558	1928	2009	177000
11103	2006	2007	155835
6000	1920	2007	108500
20781	1968	2006	262500
15306	2006	2007	283463
16196	1998	2007	215000
5250	1872	2008	122000
11643	1969	2009	200000
9247	1962	2008	171000
6000	1937	2009	134900
14720	1995	2010	410000
10316	2000	2008	235000
10192	1968	2006	170000
9477	1966	2008	110000
12537	1971	2010	149900
2117	2000	2010	177500
16737	2004	2006	315000
9842	1921	2008	189000
16158	2005	2009	260000
12513	1920	2009	104900
8499	2006	2007	156932
3180	2005	2006	144152
7500	2000	2010	216000
9179	1999	2008	193000
2665	1977	2006	127000
4435	2003	2009	144000
10635	2003	2010	232000
5400	1920	2009	105000
9600	1955	2008	165500
9750	1998	2006	274300
11400	2001	2007	466500
10625	2005	2008	250000
10991	2007	2007	239000
6292	1930	2008	91000
10998	1941	2009	117000
1953	1973	2006	83000
9735	2006	2008	167500
8212	1914	2010	58500
12925	1970	2008	237500
7200	1920	2006	157000
25339	1918	2007	112000
9060	1939	2009	105000
5436	1922	2010	125500
16692	1978	2006	250000
8520	1916	2007	136000
14892	2006	2009	377500
6000	1941	2007	131000
9100	2000	2006	235000
8944	1967	2009	124000
7838	1967	2006	123000
10800	1905	2008	163000
4045	2006	2006	246578
12665	2005	2007	281213
57200	1948	2010	160000
6120	1920	2007	137500
7200	1950	2009	138000
6171	1925	2009	137450
6000	1929	2008	120000
7415	2004	2008	193000
6762	2006	2006	193879
15256	2007	2007	282922
10410	1915	2006	105000
3842	2004	2008	275000
8445	1972	2009	133000
8780	1985	2009	112000
7740	1910	2010	125500
20544	1986	2008	215000
12420	2001	2009	230000
9600	1950	2009	140000
7200	1949	2009	90000
10994	2005	2009	257000
13053	1923	2008	207000
3635	2007	2009	175900
11340	1885	2010	122500
16545	1998	2009	340000
9204	1963	2008	124000
16381	1969	2006	223000
11700	1968	2006	179900
4043	1977	2010	127500
4435	2003	2008	136500
19690	1966	2006	274970
9503	1958	2007	144000
10721	1959	2008	142000
10944	1994	2008	271000
10930	1945	2008	140000
7200	1940	2010	119000
12546	1981	2007	182900
21930	2005	2006	192140
4928	1976	2009	143750
10800	1927	2007	64500
10261	2000	2008	186500
17400	1977	2006	160000
8400	1962	2008	174000
9000	1971	2007	120500
12444	2008	2008	394617
7407	1957	2010	149700
11584	1979	2007	197000
11526	1922	2008	191000
4426	2004	2008	149300
11003	2008	2009	310000
8854	1916	2009	121000
8500	2004	2007	179600
8400	1966	2007	129000
26142	1962	2010	157900
10000	1995	2007	240000
11767	1910	2007	112000
1533	1970	2006	92000
9000	1974	2009	136000
9262	2008	2009	287090
3675	2005	2006	145000
17217	2006	2006	84500
7500	2004	2009	185000
7917	1999	2007	175000
13175	1978	2010	210000
9042	1941	2010	266500
9717	1950	2010	142125
9937	1965	2008	147500
